,frame,x,y,undistort_x,undistort_y
7,7,589.0,305.0,562.807732,287.45502999999997
8,8,597.0,303.0,572.0821269999999,285.789189
9,9,608.0,299.0,584.660696,282.087966
10,10,620.0,296.0,598.370551,279.560319
11,11,630.0,292.0,609.612388,275.765027
12,12,641.0,290.0,622.055743,274.254681
13,13,654.0,288.0,636.673025,272.84923100000003
14,14,666.0,285.0,649.9941,270.243858
15,15,678.0,282.0,663.2269349999999,267.61654100000004
16,16,690.0,281.0,676.487452,267.184554
17,17,702.0,280.0,689.6604150000001,266.723508
18,18,714.0,278.0,702.700655,265.128711
19,19,726.0,278.0,715.7632769999999,265.714386
20,20,740.0,277.0,730.859961,265.255636
21,21,752.0,277.0,743.761452,265.772315
22,22,764.0,276.0,756.55557,265.15987
23,23,777.0,278.0,770.461632,267.83925800000003
24,24,792.0,277.0,786.29876,267.262787
25,25,804.0,278.0,798.967052,268.73199
26,26,818.0,279.0,813.673854,270.221193
27,27,832.0,281.0,828.338569,272.750381
28,28,845.0,282.0,841.8790560000001,274.12702
29,29,859.0,284.0,856.4264130000001,276.565231
30,30,874.0,287.0,871.967742,280.050091
31,31,888.0,290.0,886.423549,283.4672
32,32,902.0,292.0,900.825898,285.763446
33,33,916.0,296.0,915.208931,290.159332
34,34,931.0,300.0,930.5780050000001,294.50940099999997
35,35,946.0,304.0,945.915126,298.806911
36,36,960.0,308.0,960.2076900000001,303.05618599999997
37,37,974.0,314.0,974.476524,309.38393199999996
38,38,989.0,319.0,989.754306,314.597755
39,39,1004.0,325.0,1005.0181279999999,320.820678
40,40,1020.0,332.0,1021.291853,328.037739
41,41,1036.0,338.0,1037.585582,334.151859
42,42,1051.0,345.0,1052.859487,341.28596
43,43,1066.0,352.0,1068.1561609999999,348.38021200000003
44,44,1080.0,360.0,1082.435191,356.501757
45,45,1096.0,368.0,1098.815566,364.552732
46,46,1111.0,376.0,1114.212868,372.592327
47,47,1126.0,386.0,1129.6259730000002,382.687869
48,48,1140.0,394.0,1144.099467,390.70381299999997
49,49,1156.0,404.0,1160.704715,400.739277
50,50,1172.0,414.0,1177.410525,410.764004
51,51,1186.0,424.0,1192.093936,420.829628
52,52,1200.0,434.0,1206.87515,430.89844800000003
