,frame,x,y,undistort_x,undistort_y
13,13,616.0,308.0,594.548643,292.661741
15,15,638.0,289.0,618.569893,272.94388599999996
16,16,652.0,286.0,634.287307,270.497025
17,17,664.0,282.0,647.567841,266.784447
18,18,678.0,278.0,662.993949,263.168996
19,19,691.0,275.0,677.2593820000001,260.578768
20,20,706.0,273.0,693.68329,259.177454
21,21,720.0,270.0,708.845087,256.573658
22,22,732.0,268.0,721.794759,254.946826
23,23,745.0,266.0,735.757122,253.33774300000002
24,24,759.0,265.0,750.7617769999999,252.84354900000002
25,25,777.0,263.0,769.904625,251.35834
26,26,791.0,261.0,784.696018,249.666596
27,27,809.0,259.0,803.642373,248.06205899999998
28,28,821.0,260.0,816.288629,249.522992
29,29,838.0,260.0,834.086383,249.975647
30,30,854.0,260.0,850.768266,250.342139
31,31,869.0,260.0,866.355716,250.63373900000002
32,32,884.0,261.0,881.915596,251.96967999999998
33,33,902.0,264.0,900.5530160000001,255.46932400000003
34,34,920.0,265.0,919.118408,256.71024
35,35,937.0,266.0,936.6248699999999,257.877419
36,36,954.0,269.0,954.113836,261.156656
37,37,968.0,271.0,968.5036650000001,263.296483
38,38,986.0,274.0,986.99727,266.449706
39,39,1002.0,277.0,1003.4358050000001,269.55506
40,40,1018.0,281.0,1019.871626,273.68768700000004
41,41,1038.0,285.0,1040.455511,277.697619
42,42,1055.0,290.0,1057.9571,282.770094
43,43,1072.0,295.0,1075.496625,287.785204
44,44,1090.0,300.0,1094.130582,292.72015899999997
45,45,1105.0,306.0,1109.661464,298.75980899999996
46,46,1126.0,313.0,1131.536346,305.646935
47,47,1140.0,318.0,1146.180815,310.558386
48,48,1161.0,326.0,1168.2542230000001,318.410147
49,49,1178.0,334.0,1186.189195,326.35797599999995
50,50,1195.0,341.0,1204.283637,333.202924
51,51,1212.0,349.0,1222.475993,341.092161
52,52,1229.0,357.0,1240.819204,348.960655
53,53,1246.0,366.0,1259.286897,357.885289
54,54,1261.0,374.0,1275.7298150000001,365.816762
55,55,1280.0,384.0,1296.7849609999998,375.720441
57,57,1316.0,407.0,1337.273331,398.875246
58,58,1332.0,418.0,1355.599971,410.04366600000003
59,59,1349.0,429.0,1375.37345,421.21446299999997
60,60,1364.0,439.0,1393.060677,431.43388200000004
61,61,1382.0,453.0,1414.551941,445.93285999999995
62,62,1397.0,465.0,1432.759043,458.456991
63,63,1411.0,464.0,1450.390993,456.925864
64,64,1425.0,456.0,1468.529725,447.679908
65,65,1440.0,449.0,1488.248752,439.371
66,66,1454.0,445.0,1506.866609,434.32291799999996
67,67,1468.0,439.0,1525.894385,426.95293899999996
68,68,1482.0,434.0,1545.210773,420.598737
69,69,1496.0,429.0,1564.87637,414.141279
70,70,1509.0,424.0,1583.486731,407.638419
71,71,1522.0,420.0,1602.362385,402.187008
72,72,1537.0,417.0,1624.447942,397.664831
73,73,1552.0,414.0,1646.994962,393.0461
74,74,1565.0,410.0,1667.0450369999999,387.30310299999996
75,75,1578.0,406.0,1687.5006260000002,381.451549
76,76,1593.0,403.0,1711.494066,376.502202
77,77,1606.0,402.0,1732.623159,374.052456
78,78,1620.0,400.0,1756.0152890000002,370.200746
79,79,1632.0,397.0,1776.712821,365.216517
80,80,1646.0,396.0,1801.250425,362.364923
81,81,1656.0,396.0,1819.1748300000002,361.14881
