-0.96733,-0.027343,0.3489
-0.90974,-0.035228,0.36355
-0.85355,-0.028621,0.36986
-0.79385,-0.033489,0.38021
-0.74448,-0.035199,0.39406
-0.68714,-0.040395,0.40117
-0.63028,-0.043453,0.40564
-0.57827,-0.031461,0.40907
-0.52447,-0.041146,0.4162
-0.4721,-0.049352,0.42131
-0.41792,-0.017906,0.4237
-0.36447,-0.030153,0.42855
-0.31436,-0.027962,0.43252
-0.25825,-0.040917,0.43845
-0.20728,-0.024567,0.43339
-0.15232,-0.025637,0.43445
-0.10117,-0.025462,0.43668
-0.053329,-0.015485,0.43404
0.0014051,-0.030628,0.43019
0.046934,-0.0061173,0.43015
0.098888,0.0035804,0.42429
0.15088,0.0077278,0.42057
0.19744,-0.0075479,0.41919
0.24796,0.014802,0.41007
0.2992,0.0056155,0.4082
0.34769,0.0040948,0.40491
0.3975,0.020205,0.39701
0.45025,0.024412,0.38506
0.49431,0.019475,0.38154
0.53829,0.019962,0.36998
0.58999,0.030306,0.36017
0.63748,0.030091,0.34875
0.68116,0.025146,0.33895
0.7285,0.033183,0.32642
0.77745,0.038161,0.31219
0.82441,0.037199,0.29967
0.86868,0.036783,0.28414
0.91762,0.046615,0.26924
0.96628,0.049325,0.25506
1.0101,0.050627,0.23868
1.0569,0.052288,0.22027
1.095,0.039484,0.2036
1.143,0.046276,0.18928
1.1866,0.046969,0.1667
1.2331,0.055194,0.14942
1.2758,0.055336,0.12764
1.3191,0.058455,0.10872
1.3674,0.059341,0.084821
1.4056,0.056577,0.065696
1.4508,0.059198,0.043468
