,frame,x,y,undistort_x,undistort_y
2,2,1341.0,276.0,1375.5485210000002,252.074613
3,3,1318.0,272.0,1348.127682,249.504786
4,4,1302.0,270.0,1329.274433,248.554657
5,5,1284.0,268.0,1308.312853,247.70757200000003
6,6,1265.0,268.0,1286.322749,249.12987900000002
7,7,1248.0,267.0,1266.96652,249.194019
8,8,1228.0,266.0,1244.454207,249.38223
9,9,1209.0,266.0,1223.2637619999998,250.53780099999997
10,10,1194.0,266.0,1206.700476,251.386177
11,11,1172.0,267.0,1182.601405,253.640535
12,12,1154.0,267.0,1163.1249599999999,254.48664
13,13,1134.0,268.0,1141.630827,256.43982
14,14,1116.0,270.0,1122.4056859999998,259.320928
15,15,1097.0,273.0,1102.2407269999999,263.240971
16,16,1077.0,277.0,1081.15444,268.176624
17,17,1057.0,280.0,1060.24339,271.915282
18,18,1038.0,282.0,1040.508179,274.455517
19,19,1018.0,286.0,1019.8039769999999,279.084571
20,20,1000.0,291.0,1001.238007,284.670497
21,21,982.0,295.0,982.75047,289.100711
22,22,963.0,303.0,963.2818460000001,297.727303
23,23,945.0,305.0,944.8946179999999,299.871146
24,24,933.0,309.0,932.650532,304.102479
25,25,915.0,312.0,914.2860919999999,307.20642599999996
26,26,891.0,322.0,889.847382,317.606046
27,27,873.0,330.0,871.526535,325.849703
28,28,855.0,339.0,853.2075060000001,335.077923
29,29,843.0,345.0,840.982369,341.193735
30,30,825.0,351.0,822.559976,347.177058
31,31,808.0,359.0,805.150626,355.230846
32,32,794.0,366.0,790.7774049999999,362.264423
33,33,777.0,375.0,773.2703730000001,371.295656
34,34,768.0,387.0,764.1295190000001,383.601132
35,35,748.0,392.0,743.243472,388.354427
36,36,735.0,405.0,729.811249,401.577436
37,37,723.0,405.0,717.069036,401.29470200000003
38,38,708.0,417.0,701.332239,413.423306
39,39,696.0,429.0,688.714978,425.621058
40,40,687.0,432.0,679.061829,428.534686
41,41,657.0,426.0,646.123515,421.515445
42,42,642.0,420.0,629.311077,414.775759
43,43,623.0,416.0,607.848987,409.939207
44,44,606.0,413.0,588.39776,406.153138
45,45,588.0,410.0,567.516104,402.258691
46,46,570.0,406.0,546.270203,397.207022
47,47,553.0,404.0,525.967572,394.276015
48,48,536.0,402.0,505.34673499999997,391.278261
49,49,520.0,400.0,485.625184,388.264079
50,50,504.0,399.0,465.64459400000004,386.28886600000004
51,51,486.0,393.0,442.481525,378.574547
52,52,477.0,396.0,431.09990300000004,381.365751
53,53,459.0,399.0,407.830443,383.59648300000003
54,54,450.0,399.0,395.93091699999997,383.016635
55,55,435.0,396.0,375.62512200000003,378.613543
56,56,420.0,396.0,355.168885,377.55314
57,57,402.0,402.0,330.582592,383.128597
58,58,390.0,399.0,313.376153,378.776227
59,59,378.0,396.0,295.89378,374.353238
60,60,369.0,405.0,283.498486,384.13183300000003
61,61,354.0,405.0,261.322868,382.94980899999996
62,62,351.0,405.0,256.833772,382.70773199999996
63,63,333.0,405.0,229.502154,381.213454
64,64,318.0,414.0,206.949054,390.664838
65,65,312.0,414.0,197.48328899999998,390.162889
66,66,294.0,414.0,168.538795,388.601361
67,67,294.0,420.0,169.061498,395.849963
68,68,279.0,423.0,144.55088700000002,398.193739
69,69,279.0,423.0,144.55088700000002,398.193739
70,70,267.0,426.0,124.516773,400.799191
71,71,258.0,432.0,109.517676,407.367189
72,72,246.0,435.0,88.632423,410.008804
73,73,240.0,435.0,77.84226,409.465721
74,74,234.0,444.0,67.707293,420.12440999999995
75,75,231.0,447.0,62.441042,423.603351
76,76,213.0,453.0,28.873646,429.565818
77,77,210.0,456.0,23.280057,433.089077
78,78,204.0,462.0,11.918556,440.16573600000004
79,79,201.0,462.0,5.892276,439.91056900000007
80,80,192.0,468.0,-12.071028,446.78551600000003
81,81,186.0,474.0,-24.245099,453.96654400000006
82,82,180.0,477.0,-37.000992,457.32942199999997
83,83,174.0,483.0,-49.88405,464.593546
84,84,171.0,489.0,-56.253758,472.13888399999996
85,85,165.0,495.0,-69.81246,479.50605
86,86,159.0,501.0,-83.896647,486.936725
87,87,159.0,504.0,-83.702726,490.86848
88,88,153.0,510.0,-98.408956,498.392574
89,89,150.0,513.0,-106.02234399999999,502.18402699999996
90,90,144.0,522.0,-121.707343,513.82551
91,91,144.0,528.0,-121.475998,521.808953
92,92,141.0,534.0,-129.678076,529.718627
93,93,138.0,540.0,-138.181144,537.688551
94,94,135.0,543.0,-147.032432,541.686466
95,95,135.0,549.0,-147.02269099999998,549.762833
96,96,129.0,555.0,-165.790962,557.946005
97,97,129.0,564.0,-166.05223700000002,570.183176
98,98,129.0,570.0,-166.329981,578.347399
