,frame,x,y,undistort_x,undistort_y
5,5,604.0,300.0,583.504383,288.892393
6,6,628.0,292.0,610.625217,281.44818
7,7,652.0,286.0,637.42041,276.13711
8,8,676.0,280.0,663.826911,270.775108
9,9,698.0,274.0,687.7061190000001,265.270939
10,10,722.0,268.0,713.4852080000001,259.79295299999995
11,11,747.0,264.0,740.130993,256.425819
12,12,769.0,260.0,763.341048,252.873758
13,13,791.0,257.0,786.402903,250.319948
14,14,814.0,254.0,810.3494400000001,247.71354100000002
15,15,837.0,250.0,834.133622,243.952089
16,16,858.0,249.0,855.801638,243.272033
17,17,879.0,246.0,877.359101,240.379642
18,18,901.0,245.0,899.9108890000001,239.552188
19,19,921.0,245.0,920.3772939999999,239.69318900000002
20,20,944.0,242.0,943.8798390000001,236.563958
21,21,963.0,242.0,963.301863,236.549557
22,22,982.0,242.0,982.735034,236.468055
23,23,1003.0,243.0,1004.235643,237.36833399999998
24,24,1020.0,243.0,1021.684293,237.172496
25,25,1040.0,244.0,1042.255922,237.94301800000002
26,26,1059.0,246.0,1061.847672,239.731885
27,27,1077.0,248.0,1080.476977,241.480995
28,28,1093.0,250.0,1097.099643,243.227209
29,29,1111.0,252.0,1115.896682,244.87224700000002
30,30,1128.0,255.0,1133.714385,247.56981000000002
31,31,1143.0,258.0,1149.50982,250.292312
32,32,1159.0,261.0,1166.463146,252.94499700000003
33,33,1174.0,264.0,1182.451258,255.600654
34,34,1189.0,268.0,1198.504837,259.303676
35,35,1203.0,272.0,1213.57759,263.02333500000003
36,36,1218.0,276.0,1229.8561140000002,266.676829
37,37,1232.0,279.0,1245.2018890000002,269.273055
38,38,1244.0,284.0,1258.337157,274.11026699999996
39,39,1257.0,289.0,1272.690306,278.889373
40,40,1270.0,294.0,1287.1582720000001,283.659408
41,41,1282.0,298.0,1300.653034,287.388527
42,42,1294.0,304.0,1314.1549,293.284381
43,43,1306.0,308.0,1327.875717,297.006283
44,44,1317.0,315.0,1340.38491,304.044852
45,45,1328.0,320.0,1353.10546,308.912131
46,46,1339.0,326.0,1365.885305,314.875392
47,47,1349.0,330.0,1377.681083,318.71645
48,48,1359.0,336.0,1389.472628,324.750728
49,49,1368.0,342.0,1400.144258,330.849533
50,50,1377.0,349.0,1410.855167,338.057484
51,51,1386.0,354.0,1421.759779,343.089696
52,52,1395.0,360.0,1432.71056,349.2347
53,53,1404.0,366.0,1443.761363,355.398792
54,54,1413.0,371.0,1454.962077,360.481827
