,frame,x,y,undistort_x,undistort_y
6,6,589.0,306.0,562.880095,288.57586299999997
7,7,594.0,304.0,568.628488,286.694823
8,8,603.0,300.0,578.897094,282.8558
9,9,613.0,296.0,590.2654719999999,279.07935
10,10,623.0,292.0,601.560289,275.292733
11,11,633.0,289.0,612.851845,272.613161
12,12,643.0,288.0,624.203424,272.15317200000004
13,13,653.0,285.0,635.355456,269.445254
14,14,662.0,284.0,645.442145,268.889539
15,15,673.0,282.0,657.650147,267.32476099999997
16,16,682.0,281.0,667.619164,266.735756
17,17,693.0,279.0,679.692973,265.132276
18,18,705.0,277.0,692.796958,263.560182
19,19,715.0,277.0,703.74225,264.073603
20,20,725.0,275.0,714.5339309999999,262.35540299999997
21,21,736.0,275.0,726.452464,262.872128
22,22,747.0,275.0,738.308375,263.361004
23,23,758.0,276.0,750.145868,264.920743
24,24,769.0,276.0,761.8847910000001,265.353004
25,25,782.0,276.0,775.6912980000001,265.829211
26,26,793.0,277.0,787.353913,267.29555
27,27,805.0,279.0,800.0476110000001,269.85159
28,28,816.0,281.0,811.635733,272.341204
29,29,828.0,281.0,824.1697740000001,272.653091
30,30,841.0,284.0,837.7683860000001,276.20640299999997
31,31,853.0,287.0,850.272831,279.69341099999997
32,32,865.0,290.0,862.7302289999999,283.140168
33,33,877.0,293.0,875.145016,286.548053
34,34,891.0,297.0,889.586447,291.01203399999997
35,35,902.0,300.0,900.898027,294.33036
36,36,915.0,305.0,914.242659,299.763187
37,37,929.0,309.0,928.566967,304.089058
38,38,942.0,314.0,941.8435210000001,309.42834300000004
39,39,953.0,319.0,953.0568910000001,314.72556099999997
40,40,967.0,324.0,967.3071669999999,319.98191299999996
41,41,980.0,330.0,980.5191560000001,326.25228300000003
42,42,996.0,338.0,996.758633,334.558921
43,43,1005.0,342.0,1005.891873,338.680982
44,44,1018.0,349.0,1019.07208,345.883038
45,45,1031.0,356.0,1032.253651,353.048184
46,46,1044.0,363.0,1045.442818,360.179853
47,47,1056.0,371.0,1057.6084210000001,368.33331699999997
48,48,1070.0,379.0,1071.839125,376.42904
49,49,1083.0,388.0,1085.055431,385.546501
50,50,1094.0,396.0,1096.2555960000002,393.63847999999996
51,51,1107.0,404.0,1109.549548,401.68158999999997
52,52,1119.0,413.0,1121.832967,410.757591
53,53,1129.0,413.0,1132.230514,410.58574500000003
54,54,1139.0,406.0,1142.803395,403.167137
55,55,1147.0,399.0,1151.339141,395.745165
56,56,1156.0,392.0,1160.980278,388.258223
57,57,1164.0,386.0,1169.5964960000001,381.795522
58,58,1172.0,380.0,1178.263199,375.294935
59,59,1180.0,374.0,1186.982681,368.754741
60,60,1189.0,369.0,1196.800882,363.197582
61,61,1197.0,362.0,1205.671133,355.513437
62,62,1206.0,358.0,1215.58186,350.934421
63,63,1214.0,354.0,1224.463466,346.359594
64,64,1223.0,350.0,1234.500349,341.71079
65,65,1230.0,346.0,1242.394349,337.112685
66,66,1239.0,342.0,1252.560225,332.391804
67,67,1247.0,338.0,1261.681505,327.67978
68,68,1255.0,335.0,1270.814815,324.01915099999997
69,69,1263.0,333.0,1279.9551720000002,321.419895
70,70,1272.0,331.0,1290.293735,318.74125
71,71,1279.0,329.0,1298.4123550000002,316.150405
72,72,1287.0,327.0,1307.732864,313.479044
73,73,1296.0,325.0,1318.27906,310.719817
74,74,1303.0,324.0,1326.502349,309.167852
75,75,1312.0,324.0,1337.061115,308.57730499999997
76,76,1319.0,324.0,1345.326996,308.105601
77,77,1327.0,323.0,1354.9028449999998,306.437647
78,78,1336.0,323.0,1365.6762039999999,305.795708
79,79,1343.0,323.0,1374.113742,305.28357400000004
80,80,1351.0,324.0,1383.745152,305.80823599999997
81,81,1358.0,324.0,1392.294742,305.27421
82,82,1366.0,326.0,1401.9759279999998,306.906925
83,83,1373.0,329.0,1410.403754,309.742882
84,84,1381.0,330.0,1420.292236,310.23722599999996
85,85,1388.0,333.0,1428.832948,313.070158
86,86,1395.0,335.0,1437.509286,314.769356
87,87,1403.0,337.0,1447.518501,316.383818
88,88,1409.0,340.0,1454.951301,319.298761
89,89,1417.0,344.0,1464.92856,323.188352
90,90,1424.0,348.0,1473.6815800000002,327.164942
91,91,1431.0,351.0,1482.579135,330.005612
92,92,1436.0,357.0,1488.6558109999999,336.437885
93,93,1444.0,361.0,1498.907716,340.35029199999997
94,94,1449.0,367.0,1505.077258,346.79598799999997
95,95,1456.0,371.0,1514.1280179999999,350.806308
96,96,1462.0,377.0,1521.739789,357.189602
97,97,1469.0,382.0,1530.845806,362.363598
98,98,1475.0,388.0,1538.5810609999999,368.769939
99,99,1481.0,395.0,1546.304218,376.33276800000004
100,100,1486.0,401.0,1552.779312,382.836655
101,101,1492.0,408.0,1560.6267269999998,390.42706699999997
102,102,1497.0,415.0,1567.142911,398.100566
103,103,1503.0,423.0,1575.0608710000001,406.869246
104,104,1508.0,429.0,1581.760109,413.429889
105,105,1514.0,438.0,1589.767433,423.385284
106,106,1518.0,445.0,1595.102764,431.18259900000004
107,107,1523.0,454.0,1601.826298,441.235028
108,108,1528.0,462.0,1608.672983,450.165503
109,109,1533.0,472.0,1615.509506,461.41507199999995
110,110,1536.0,480.0,1619.581255,470.473449
