,frame,x,y,undistort_x,undistort_y
13,13,1308.0,268.0,1336.547161,245.77062599999996
15,15,1273.0,260.0,1296.149658,239.447163
16,16,1254.0,261.0,1274.220934,241.99194300000002
17,17,1238.0,254.0,1256.516519,235.177235
18,18,1219.0,252.0,1235.2635289999998,234.178997
19,19,1198.0,248.0,1212.1426310000002,230.962848
20,20,1181.0,246.0,1193.5281630000002,229.68875699999998
21,21,1162.0,245.0,1172.835551,229.577213
22,22,1144.0,244.0,1153.3988880000002,229.33260299999998
23,23,1124.0,243.0,1131.965708,229.09480299999998
24,24,1102.0,243.0,1108.530428,229.950658
25,25,1082.0,243.0,1087.378355,230.624798
26,26,1065.0,241.0,1069.552417,228.898054
27,27,1046.0,241.0,1049.651072,229.37383799999998
28,28,1029.0,242.0,1031.8951240000001,230.83461200000002
29,29,1011.0,243.0,1013.162088,232.23786299999998
30,30,988.0,244.0,989.3051019999999,233.60925299999997
31,31,971.0,244.0,971.7136220000001,233.72598100000002
32,32,954.0,248.0,954.132425,238.18608799999998
33,33,933.0,250.0,932.4486529999999,240.35621
34,34,918.0,250.0,916.9522789999999,240.27285
35,35,900.0,255.0,898.390408,245.600579
36,36,883.0,258.0,880.8364970000001,248.67004
37,37,864.0,258.0,861.127042,248.34877799999998
38,38,848.0,264.0,844.608853,254.595089
39,39,832.0,267.0,827.9939009999999,257.498378
40,40,813.0,270.0,808.181599,260.26261
41,41,798.0,273.0,792.496858,263.085185
42,42,786.0,279.0,780.028038,269.246489
43,43,770.0,290.0,763.463873,280.673635
44,44,752.0,289.0,744.2494360000001,278.907158
45,45,738.0,294.0,729.438735,283.789739
46,46,723.0,296.0,713.338892,285.324654
47,47,712.0,301.0,701.625428,290.284178
48,48,697.0,308.0,685.576866,297.21684700000003
49,49,686.0,312.0,673.68574,301.046655
50,50,672.0,318.0,658.504385,306.891758
51,51,660.0,325.0,645.500471,313.909361
52,52,648.0,330.0,632.309889,318.735411
53,53,640.0,336.0,623.605718,324.850975
54,54,630.0,341.0,612.536442,329.76787
55,55,618.0,348.0,599.215343,336.75100699999996
57,57,600.0,359.0,579.062045,347.76453100000003
58,58,588.0,366.0,565.466794,354.745129
59,59,582.0,370.0,558.650616,358.781451
60,60,570.0,378.0,544.923099,366.85993199999996
61,61,562.0,382.0,535.627985,370.798069
62,62,555.0,389.0,527.627217,378.064168
63,63,546.0,393.0,517.00958,381.962992
64,64,537.0,387.0,505.77606799999995,374.91808100000003
65,65,528.0,381.0,494.420404,367.80623199999997
66,66,522.0,375.0,486.656368,360.812306
67,67,511.0,372.0,472.77630800000003,356.779456
68,68,504.0,365.0,463.50916900000004,348.494212
69,69,497.0,363.0,454.50519,345.757375
70,70,490.0,357.0,445.13113799999996,338.485863
71,71,481.0,354.0,433.31211900000005,334.395226
72,72,474.0,351.0,423.97844800000007,330.42299199999997
73,73,468.0,345.0,415.62155099999995,323.069627
74,74,461.0,342.0,406.124881,319.016532
75,75,453.0,339.0,395.206733,314.835096
76,76,447.0,336.0,386.874029,310.80100699999997
77,77,441.0,334.0,378.57133,307.89906
78,78,434.0,331.0,368.736879,303.704719
79,79,429.0,327.0,361.462228,298.50592400000005
80,80,424.0,326.0,354.449644,296.803529
81,81,418.0,324.0,345.889027,293.798927
