,frame,x,y,undistort_x,undistort_y
5,5,560.0,313.0,532.43668,300.670012
6,6,578.0,307.0,553.500948,295.113884
7,7,598.0,300.0,576.5452,288.571086
8,8,619.0,294.0,600.454979,283.156507
9,9,640.0,288.0,624.024437,277.715144
10,10,662.0,283.0,648.444454,273.369323
11,11,681.0,278.0,669.249845,268.842194
12,12,701.0,273.0,690.934123,264.32068300000003
13,13,722.0,268.0,713.4852080000001,259.79295299999995
14,14,742.0,264.0,734.79578,256.247684
15,15,762.0,260.0,755.934568,252.64716099999998
16,16,782.0,257.0,776.952543,250.059808
17,17,802.0,254.0,797.834007,247.40990699999998
18,18,821.0,252.0,817.58289,245.741584
19,19,840.0,251.0,837.257664,245.080231
20,20,858.0,249.0,855.801638,243.272033
21,21,877.0,247.0,875.3178800000001,241.420798
22,22,895.0,246.0,893.773174,240.56246099999998
23,23,912.0,245.0,911.171701,239.63884500000003
24,24,930.0,245.0,929.577656,239.73265800000001
25,25,946.0,245.0,945.9260949999999,239.766146
26,26,963.0,245.0,963.2943449999999,239.75032000000002
27,27,980.0,246.0,980.6659119999999,240.747597
28,28,994.0,247.0,994.98041,241.71747000000002
29,29,1010.0,248.0,1011.359897,242.63043599999997
30,30,1025.0,249.0,1026.7414820000001,243.51148500000002
31,31,1040.0,251.0,1042.1402130000001,245.419083
32,32,1054.0,254.0,1056.523665,248.372538
33,33,1067.0,256.0,1069.9251160000001,250.248271
34,34,1082.0,259.0,1085.4183990000001,253.11615299999997
35,35,1094.0,261.0,1097.861445,254.95863300000002
36,36,1107.0,264.0,1111.364459,257.818064
37,37,1120.0,268.0,1124.888092,261.718652
38,38,1132.0,271.0,1137.438058,264.560571
39,39,1145.0,274.0,1151.099236,267.35126099999997
40,40,1155.0,278.0,1161.595892,271.287946
41,41,1166.0,282.0,1173.199773,275.178516
42,42,1177.0,286.0,1184.854118,279.056277
43,43,1187.0,290.0,1195.4826699999999,282.95905899999997
44,44,1197.0,295.0,1206.120981,287.91922900000003
45,45,1206.0,299.0,1215.755964,291.844035
46,46,1216.0,304.0,1226.489895,296.791079
