-0.99318,0.020555,0.34001
-0.89692,0.012461,0.37387
-0.84754,0.015692,0.37892
-0.80259,0.0089561,0.3903
-0.75299,0.0079153,0.39867
-0.70042,-0.0033331,0.40763
-0.65698,0.00060637,0.41297
-0.60799,-0.0030809,0.41886
-0.56355,-0.011865,0.42274
-0.51762,-0.020816,0.42661
-0.46765,-0.03152,0.42868
-0.41902,-0.02622,0.43241
-0.37615,-0.034333,0.43601
-0.32882,-0.030964,0.43912
-0.28856,-0.042362,0.43745
-0.24217,-0.044516,0.43767
-0.19385,-0.052596,0.43695
-0.15179,-0.062471,0.43606
-0.10882,-0.066737,0.43249
-0.060905,-0.069825,0.42912
-0.019239,-0.076502,0.42638
0.02457,-0.072772,0.4232
0.068353,-0.080787,0.41736
0.10954,-0.096967,0.41369
0.1528,-0.094172,0.40734
0.19344,-0.10209,0.40111
0.23685,-0.10926,0.39458
0.27939,-0.11054,0.38818
0.31738,-0.11462,0.37722
0.3601,-0.10492,0.36458
0.40359,-0.11809,0.35969
0.44219,-0.12736,0.34813
0.48576,-0.13306,0.33958
0.52024,-0.14333,0.32851
0.5649,-0.13924,0.31484
0.60232,-0.15122,0.30226
0.64287,-0.15278,0.2899
0.68134,-0.15248,0.27644
0.72038,-0.1606,0.26182
0.75568,-0.17142,0.24642
0.78996,-0.17752,0.23238
0.83262,-0.18167,0.21548
0.90776,-0.19955,0.17958
0.94855,-0.20247,0.16185
0.98159,-0.21749,0.14448
1.0205,-0.20967,0.12636
1.0594,-0.2281,0.10526
1.0941,-0.23566,0.08332
1.1246,-0.22599,0.084071
1.1515,-0.23715,0.1054
1.179,-0.24722,0.12491
1.2007,-0.25958,0.14038
1.2309,-0.25909,0.15471
1.2542,-0.2745,0.17329
1.2795,-0.28007,0.18487
1.3019,-0.29237,0.20149
1.3286,-0.29583,0.21403
1.355,-0.30564,0.22533
1.3778,-0.31868,0.23936
1.4018,-0.32613,0.25049
1.4273,-0.33137,0.26295
1.4518,-0.33966,0.27216
1.4757,-0.35059,0.2801
1.5011,-0.35683,0.28912
1.5211,-0.37088,0.30023
1.545,-0.37961,0.30501
1.5664,-0.38799,0.31062
