,frame,x,y,undistort_x,undistort_y
5,5,611.0,298.0,588.08133,281.17817
6,6,624.0,291.0,602.6448849999999,274.242091
7,7,641.0,289.0,621.9910719999999,273.139406
8,8,657.0,284.0,639.810786,268.58108799999997
9,9,672.0,280.0,656.413829,265.040293
10,10,687.0,276.0,672.884517,261.464359
11,11,704.0,275.0,691.593213,261.29046
12,12,721.0,271.0,709.985321,257.73265200000003
13,13,737.0,268.0,727.209861,255.183775
14,14,752.0,265.0,743.248443,252.542692
15,15,774.0,262.0,766.670655,250.137823
16,16,791.0,260.0,784.660627,248.56309
17,17,808.0,258.0,802.557089,246.927878
18,18,827.0,256.0,822.469888,245.287173
19,19,847.0,258.0,843.4319710000001,247.99272000000002
20,20,865.0,258.0,862.166027,248.36769900000002
21,21,884.0,257.0,881.8575609999999,247.58834500000003
22,22,903.0,258.0,901.523506,248.92140299999997
23,23,924.0,264.0,923.232716,255.64420800000002
24,24,942.0,260.0,941.759512,251.344198
25,25,962.0,262.0,962.358275,253.51957099999998
26,26,982.0,263.0,982.9576279999999,254.515613
27,27,1000.0,265.0,1001.50234,256.53833199999997
28,28,1021.0,269.0,1023.141134,260.626322
29,29,1042.0,272.0,1044.836044,263.531926
30,30,1062.0,273.0,1065.603398,264.193622
31,31,1083.0,276.0,1087.457722,266.925994
32,32,1102.0,286.0,1107.100234,277.251052
33,33,1124.0,287.0,1130.283494,277.61996800000003
34,34,1142.0,292.0,1149.231342,282.405163
35,35,1163.0,298.0,1171.475392,288.10175899999996
36,36,1183.0,304.0,1192.813568,293.775254
37,37,1203.0,310.0,1214.334568,299.39273399999996
38,38,1224.0,316.0,1237.168444,304.909248
39,39,1244.0,324.0,1259.032417,312.60954399999997
40,40,1264.0,331.0,1281.196558,319.182912
41,41,1284.0,340.0,1303.524196,327.912774
42,42,1302.0,346.0,1323.9917289999999,333.456127
43,43,1323.0,354.0,1348.148774,341.002253
44,44,1339.0,362.0,1366.70105,348.84161
45,45,1359.0,372.0,1390.231261,358.653636
46,46,1376.0,382.0,1410.4621339999999,368.66952000000003
47,47,1395.0,390.0,1433.6362960000001,376.38748599999997
48,48,1411.0,403.0,1453.1138429999999,389.864712
49,49,1429.0,409.0,1475.908528,395.506555
50,50,1445.0,420.0,1496.211309,406.882925
51,51,1461.0,429.0,1516.9919710000001,416.093546
52,52,1480.0,442.0,1542.055331,429.73068600000005
53,53,1493.0,451.0,1559.54062,439.261646
54,54,1508.0,463.0,1580.012736,452.186366
