,frame,x,y,undistort_x,undistort_y
6,6,1344.0,276.0,1379.2104259999999,251.80188199999998
7,7,1335.0,273.0,1368.521704,249.162761
8,8,1320.0,270.0,1350.695033,247.03913599999998
9,9,1308.0,267.0,1336.631358,244.625094
10,10,1293.0,264.0,1319.1608429999999,242.432987
11,11,1281.0,261.0,1305.363961,239.965427
12,12,1267.0,259.0,1289.290759,238.76486200000002
13,13,1253.0,258.0,1273.293495,238.65987900000002
14,14,1238.0,256.0,1256.37907,237.44457599999998
15,15,1226.0,256.0,1242.851872,238.246792
16,16,1211.0,252.0,1226.331288,234.68565
17,17,1196.0,252.0,1209.695472,235.59007000000003
18,18,1182.0,251.0,1194.348202,235.258436
19,19,1167.0,251.0,1177.966621,236.05344399999998
20,20,1153.0,253.0,1162.6905179999999,238.97741200000002
21,21,1141.0,252.0,1149.805458,238.411634
22,22,1128.0,254.0,1135.788109,241.191481
23,23,1112.0,255.0,1118.706228,242.923064
24,24,1097.0,257.0,1102.753518,245.659979
25,25,1081.0,259.0,1085.84299,248.362957
26,26,1067.0,260.0,1071.1428349999999,249.847661
27,27,1054.0,261.0,1057.5448,251.261748
28,28,1040.0,263.0,1042.9347109999999,253.749292
29,29,1025.0,266.0,1027.3262849999999,257.29422200000005
30,30,1011.0,270.0,1012.7961970000001,261.85377
31,31,996.0,274.0,997.2883390000001,266.364996
32,32,982.0,277.0,982.863559,269.726476
33,33,969.0,282.0,969.489142,275.19442799999996
34,34,955.0,287.0,955.123724,280.61206
35,35,943.0,292.0,942.8353279999999,285.978671
36,36,929.0,297.0,928.521211,291.296148
37,37,915.0,303.0,914.229991,297.631549
38,38,902.0,308.0,900.967607,302.860531
39,39,890.0,313.0,888.7331929999999,308.061146
40,40,879.0,319.0,877.5359289999999,314.300585
41,41,867.0,324.0,865.3008880000001,319.43734900000004
42,42,852.0,332.0,850.0223460000001,327.663985
43,43,840.0,339.0,837.799015,334.841023
44,44,830.0,344.0,827.587888,339.922536
45,45,817.0,350.0,814.282498,345.97803999999996
46,46,806.0,359.0,803.079897,355.190945
47,47,795.0,366.0,791.815988,362.285331
48,48,783.0,373.0,779.4836280000001,369.33984
49,49,772.0,381.0,768.180529,377.44177
50,50,762.0,389.0,757.890875,385.550469
51,51,754.0,396.0,749.6493360000001,392.652206
52,52,743.0,405.0,738.266001,401.756698
53,53,732.0,408.0,726.701462,404.626049
54,54,725.0,403.0,719.149502,399.260466
55,55,717.0,397.0,710.46412,392.797511
56,56,708.0,392.0,700.679181,387.316612
57,57,699.0,387.0,690.831449,381.798947
58,58,690.0,383.0,680.950954,377.29855499999996
59,59,681.0,380.0,671.041264,373.824274
60,60,673.0,376.0,662.131533,369.29783399999997
61,61,665.0,372.0,653.165454,364.740849
62,62,656.0,369.0,643.0705360000001,361.180098
63,63,649.0,366.0,635.142388,357.675546
64,64,642.0,363.0,627.168438,354.148513
65,65,633.0,359.0,616.839984,349.42559900000003
66,66,625.0,358.0,607.717087,347.959206
67,67,616.0,355.0,597.2907309999999,344.255395
68,68,609.0,354.0,589.1961110000001,342.802171
69,69,602.0,351.0,580.94551,339.153005
70,70,595.0,350.0,572.754562,337.66705
71,71,586.0,350.0,562.227803,337.146501
72,72,580.0,349.0,555.106992,335.691482
73,73,573.0,348.0,546.7617280000001,334.163146
74,74,567.0,347.0,539.558005,332.68343
75,75,560.0,348.0,531.244153,333.34101699999997
76,76,554.0,348.0,524.0228400000001,332.949981
77,77,547.0,348.0,515.549164,332.48441099999997
78,78,540.0,349.0,507.090233,333.122163
79,79,534.0,349.0,499.738495,332.70842700000003
80,80,530.0,348.0,494.743858,331.311195
81,81,523.0,351.0,486.295657,334.16841800000003
82,82,517.0,353.0,478.971532,335.978539
83,83,510.0,355.0,470.35194299999995,337.716195
84,84,505.0,358.0,464.274612,340.720618
85,85,499.0,360.0,456.828146,342.531987
86,86,495.0,362.0,451.88867400000004,344.489359
87,87,490.0,365.0,445.72375199999993,347.500467
88,88,485.0,368.0,439.528354,350.51465
89,89,480.0,371.0,433.301881,353.532168
90,90,476.0,374.0,428.340846,356.624797
91,91,471.0,378.0,422.12759800000003,360.776627
92,92,467.0,381.0,417.118587,363.87647000000004
93,93,463.0,385.0,412.157082,368.107393
94,94,459.0,389.0,407.171767,372.34256899999997
95,95,455.0,393.0,402.162203,376.582334
96,96,451.0,397.0,397.127949,380.827029
97,97,448.0,402.0,393.46509100000003,386.26909
98,98,445.0,406.0,389.719991,390.58678399999997
99,99,442.0,411.0,386.019422,396.03465800000004
100,100,438.0,416.0,380.955452,401.42648199999996
101,101,436.0,421.0,378.557273,406.940679
102,102,433.0,426.0,374.795021,412.39973
103,103,431.0,432.0,372.417996,419.041676
104,104,428.0,437.0,368.61498,424.508404
105,105,426.0,443.0,366.198373,431.15358
106,106,424.0,448.0,363.715376,436.67639299999996
107,107,422.0,454.0,361.260534,443.324439
108,108,420.0,461.0,358.825735,451.09660499999995
109,109,418.0,467.0,356.326404,457.748915
110,110,417.0,472.0,355.14095499999996,463.318833
