,frame,x,y,undistort_x,undistort_y
5,5,593.0,303.0,567.379649,285.502279
6,6,606.0,299.0,582.329608,281.947784
7,7,620.0,296.0,598.370551,279.560319
8,8,635.0,291.0,615.27346,274.979452
9,9,650.0,287.0,632.086321,271.485369
10,10,664.0,284.0,647.689568,269.011233
11,11,680.0,282.0,665.452864,267.731584
12,12,695.0,279.0,681.900643,265.241614
13,13,710.0,277.0,698.276968,263.81982400000004
14,14,726.0,274.0,715.572,261.298585
15,15,742.0,274.0,732.882437,262.040327
16,16,758.0,273.0,750.023529,261.623515
17,17,775.0,272.0,768.117519,261.190744
18,18,792.0,272.0,786.132683,261.793431
19,19,808.0,272.0,802.989775,262.30213599999996
20,20,825.0,272.0,820.807597,262.78122
21,21,842.0,272.0,838.541558,263.197732
22,22,860.0,274.0,857.277937,265.746336
23,23,876.0,276.0,873.866292,268.188548
24,24,894.0,278.0,892.457975,270.59418900000003
25,25,911.0,280.0,909.965875,272.919862
26,26,929.0,283.0,928.4646529999999,276.264926
27,27,947.0,286.0,946.926456,279.538097
28,28,964.0,290.0,964.3377619999999,283.818639
29,29,982.0,294.0,982.756524,288.029505
30,30,1000.0,298.0,1001.1717289999999,292.173292
31,31,1018.0,303.0,1019.5846779999999,297.32122400000003
32,32,1035.0,308.0,1036.986683,302.420782
33,33,1053.0,314.0,1055.428672,308.51252900000003
34,34,1070.0,320.0,1072.875934,314.566031
35,35,1088.0,326.0,1091.408715,320.54742200000004
36,36,1106.0,333.0,1109.985281,327.539348
37,37,1122.0,340.0,1126.5433269999999,334.538568
38,38,1139.0,348.0,1144.198825,342.532648
39,39,1156.0,355.0,1161.97711,349.435891
40,40,1173.0,364.0,1179.802837,358.424433
41,41,1190.0,372.0,1197.780381,366.334183
42,42,1205.0,381.0,1213.69271,375.348889
43,43,1222.0,390.0,1231.9063449999999,384.290112
44,44,1236.0,399.0,1246.977235,393.327948
45,45,1253.0,409.0,1265.473056,403.328211
46,46,1268.0,416.0,1282.015701,410.235821
47,47,1283.0,411.0,1299.1342949999998,404.42115
48,48,1298.0,405.0,1316.507299,397.45973
49,49,1312.0,398.0,1332.994786,389.37111200000004
50,50,1327.0,392.0,1350.840997,382.21175
51,51,1342.0,386.0,1368.950014,374.946193
52,52,1356.0,381.0,1386.068076,368.72225499999996
53,53,1371.0,376.0,1404.663462,362.344092
54,54,1386.0,372.0,1423.490839,356.970743
55,55,1400.0,368.0,1441.35438,351.570091
56,56,1414.0,364.0,1459.496216,346.077719
57,57,1428.0,359.0,1478.007602,339.354428
58,58,1442.0,356.0,1496.66598,334.80212400000005
59,59,1456.0,354.0,1515.5450289999999,331.313639
60,60,1470.0,350.0,1534.9214240000001,325.43178900000004
61,61,1483.0,348.0,1553.057311,321.871942
62,62,1497.0,346.0,1572.903678,318.138502
63,63,1510.0,344.0,1591.667852,314.426891
64,64,1523.0,344.0,1610.535649,313.021187
65,65,1536.0,342.0,1629.955831,309.166045
66,66,1548.0,341.0,1648.0997949999999,306.55350699999997
67,67,1561.0,341.0,1667.977745,304.969878
68,68,1574.0,341.0,1688.23998,303.3255
69,69,1585.0,342.0,1705.5731600000001,303.115563
70,70,1597.0,342.0,1724.983816,301.491135
71,71,1610.0,343.0,1746.3307929999999,300.905639
72,72,1621.0,344.0,1764.773298,300.54961000000003
73,73,1632.0,346.0,1783.467437,301.406776
74,74,1644.0,348.0,1804.3931719999998,302.05764
75,75,1654.0,351.0,1822.0605480000002,304.261319
76,76,1666.0,353.0,1844.1379359999999,304.786569
77,77,1676.0,356.0,1862.883464,306.88845299999997
78,78,1687.0,359.0,1884.2629170000002,308.737433
79,79,1697.0,363.0,1904.1922260000001,312.02356000000003
80,80,1706.0,366.0,1922.962325,314.116155
81,81,1717.0,370.0,1946.940318,317.000321
82,82,1727.0,375.0,1969.6881019999998,321.343571
83,83,1736.0,379.0,1991.573522,324.44226299999997
84,84,1746.0,384.0,2017.5531629999998,328.464952
85,85,1754.0,388.0,2040.092375,331.49699300000003
86,86,1762.0,394.0,2063.894157,337.19421600000004
87,87,1771.0,399.0,2094.421515,340.780231
88,88,1779.0,405.0,2124.586687,345.89168
89,89,1788.0,411.0,2164.847489,349.935209
90,90,1796.0,417.0,2208.049046,353.784693
91,91,1802.0,424.0,2245.325318,360.10754199999997
92,92,1810.0,430.0,2312.488077,361.760192
93,93,1817.0,437.0,2391.514148,364.247034
94,94,1825.0,445.0,2529.948938,362.99073799999996
95,95,1831.0,452.0,2699.675585,358.533863
96,96,1838.0,458.0,3107.653253,331.04548700000004
97,97,1844.0,466.0,4026.3411520000004,268.777035
98,98,1850.0,474.0,11575.358028,-312.59826699999996
99,99,1856.0,482.0,-1977.62034,756.164552
100,100,1862.0,490.0,189.118191,594.1765849999999
101,101,1867.0,498.0,648.405308,562.841899
102,102,1872.0,506.0,843.253524,551.517248
103,103,1877.0,516.0,922.273217,547.715637
104,104,1882.0,524.0,946.7255539999999,546.874929
105,105,1886.0,532.0,949.8346460000001,546.797732
106,106,1890.0,542.0,949.9681609999999,546.795622
107,107,1895.0,552.0,949.050535,546.790568
108,108,1899.0,561.0,746.190475,543.745634
109,109,1902.0,569.0,2782.866552,589.54458
110,110,1906.0,578.0,2102.020115,584.397994
111,111,1908.0,587.0,2031.344012,592.176205
